end_country,flights,month
US,1486925,202203
GB,86927,202203
AU,86509,202203
DE,82075,202203
CA,68770,202203
IN,63314,202203
FR,60495,202203
ES,58644,202203
JP,54463,202203
IT,53133,202203
BR,49365,202203
TR,37610,202203
RU,33317,202203
MX,33305,202203
AE,27678,202203
CN,27336,202203
NO,22205,202203
KR,21694,202203
CH,21449,202203
NL,20624,202203
NZ,19396,202203
CO,18530,202203
PL,17024,202203
PH,16885,202203
PT,15577,202203
BE,15266,202203
DK,13251,202203
MY,12405,202203
SE,12384,202203
TH,12172,202203
AT,11564,202203
GR,11191,202203
SA,10913,202203
IE,10364,202203
QA,10173,202203
VN,10044,202203
AR,9221,202203
TW,8324,202203
ZA,7378,202203
MA,7344,202203
PR,7215,202203
FI,6501,202203
RO,6461,202203
CZ,6097,202203
DO,5764,202203
KZ,5555,202203
IL,5342,202203
PA,4951,202203
HU,4325,202203
BS,3910,202203
HK,3338,202203
CY,2973,202203
PE,2960,202203
DZ,2854,202203
BH,2681,202203
LU,2627,202203
PK,2555,202203
ID,2545,202203
IS,2357,202203
SG,2300,202203
RS,2272,202203
EG,2169,202203
HR,2051,202203
BD,1929,202203
BG,1921,202203
LT,1915,202203
IR,1911,202203
LV,1846,202203
MT,1780,202203
OM,1754,202203
PF,1614,202203
GT,1451,202203
LB,1439,202203
BA,1358,202203
EE,1346,202203
BB,1206,202203
VI,1136,202203
AW,1087,202203
GE,1062,202203
EC,856,202203
AL,815,202203
SI,792,202203
JE,757,202203
BY,678,202203
GG,643,202203
XK,617,202203
BM,616,202203
ME,521,202203
SK,472,202203
IM,445,202203
LK,391,202203
SN,375,202203
GY,364,202203
CW,359,202203
GI,336,202203
GD,303,202203
SY,302,202203
TT,300,202203
VC,283,202203
MK,282,202203
KP,279,202203
JO,251,202203
PS,247,202203
VE,226,202203
LY,215,202203
KG,208,202203
SV,199,202203
LC,185,202203
KE,136,202203
UY,130,202203
CU,119,202203
CL,112,202203
BN,78,202203
DM,76,202203
MQ,64,202203
GM,64,202203
LA,43,202203
GN,42,202203
VG,40,202203
CV,39,202203
LS,32,202203
AX,30,202203
AZ,28,202203
GW,25,202203
MR,16,202203
MD,16,202203
BO,16,202203
PM,10,202203
HT,6,202203
CM,6,202203
MV,3,202203
MN,2,202203
TC,2,202203
EH,1,202203
KW,1,202203
GP,1,202203
BQ,1,202203
US,1114678,202010
CN,83718,202010
DE,51721,202010
AU,51645,202010
GB,48331,202010
RU,44504,202010
IN,43760,202010
JP,37356,202010
CA,37261,202010
TR,36694,202010
FR,35553,202010
IT,33828,202010
BR,31119,202010
ES,28162,202010
NZ,20378,202010
KR,16422,202010
NO,15165,202010
AE,13530,202010
NL,12733,202010
MX,12344,202010
TW,11122,202010
CH,10551,202010
PL,9738,202010
PT,8771,202010
GR,8683,202010
DK,7810,202010
BE,7238,202010
VN,7098,202010
QA,6942,202010
SE,6915,202010
CO,6613,202010
HK,6612,202010
ID,6558,202010
SA,6368,202010
MY,5980,202010
AT,5873,202010
UA,5252,202010
PH,4653,202010
IE,4096,202010
SG,3978,202010
RO,3859,202010
FI,3143,202010
ZA,3120,202010
CZ,3064,202010
PK,3013,202010
EG,2917,202010
PR,2852,202010
MA,2739,202010
IR,2603,202010
PE,2407,202010
KZ,2318,202010
BS,2087,202010
IL,2001,202010
CY,1907,202010
BD,1896,202010
RS,1735,202010
HR,1694,202010
LU,1683,202010
GT,1550,202010
HU,1430,202010
LV,1422,202010
BG,1382,202010
LT,1300,202010
BH,1247,202010
BY,1130,202010
MT,1101,202010
PF,1047,202010
DZ,990,202010
BA,975,202010
LB,962,202010
BO,918,202010
TH,899,202010
UZ,832,202010
CU,761,202010
AL,757,202010
EE,677,202010
IS,672,202010
DO,669,202010
TN,650,202010
OM,566,202010
JE,475,202010
SI,471,202010
CR,460,202010
NP,448,202010
BB,435,202010
EC,405,202010
BM,372,202010
MK,341,202010
ME,333,202010
SK,294,202010
NI,285,202010
PA,241,202010
GI,240,202010
PS,217,202010
GG,207,202010
TT,194,202010
KP,188,202010
KW,183,202010
IQ,176,202010
MD,173,202010
LY,163,202010
SY,160,202010
LK,158,202010
JO,153,202010
GD,152,202010
XK,144,202010
LC,132,202010
VC,107,202010
HT,96,202010
HN,92,202010
KG,90,202010
TC,88,202010
AX,87,202010
GY,84,202010
IM,80,202010
UY,70,202010
VE,59,202010
MQ,58,202010
SV,56,202010
AZ,48,202010
AR,44,202010
KE,30,202010
GP,24,202010
TJ,13,202010
DM,9,202010
PY,6,202010
BW,4,202010
MV,4,202010
CM,4,202010
FO,4,202010
VI,3,202010
KH,3,202010
BN,2,202010
GE,2,202010
US,1422919,202211
AU,97486,202211
GB,86179,202211
CA,79717,202211
DE,79119,202211
IN,75545,202211
JP,64978,202211
FR,60133,202211
ES,59172,202211
IT,53160,202211
BR,47630,202211
TR,43555,202211
MX,40415,202211
RU,38920,202211
AE,29536,202211
NZ,29126,202211
TH,27854,202211
KR,26277,202211
NO,23759,202211
PH,20254,202211
CN,20178,202211
CO,20052,202211
NL,19880,202211
MY,19125,202211
CH,18061,202211
PT,16493,202211
PL,15467,202211
SE,13717,202211
DK,13689,202211
BE,13670,202211
GR,12663,202211
VN,12292,202211
SA,11814,202211
QA,11545,202211
AR,11313,202211
AT,11013,202211
IE,10971,202211
PE,10162,202211
TW,10121,202211
MA,9445,202211
ZA,9313,202211
ID,8644,202211
RO,7393,202211
FI,7137,202211
HK,6370,202211
IL,6045,202211
PR,5717,202211
BD,5471,202211
CZ,5405,202211
CY,4900,202211
HU,4390,202211
DZ,4078,202211
BS,3998,202211
KZ,3929,202211
DO,3752,202211
KW,3620,202211
BH,3169,202211
RS,2897,202211
IS,2828,202211
LU,2739,202211
