year_month,Country_Region,Confirmed_cumulative,Deaths_cumulative,Recovered_cumulative,Active_cumulative,Confirmed_monthly_new,Deaths_monthly_new,Recovered_monthly_new,Active_monthly_new
2020-08,US,55480,1095,,,-55480,-1095,,
2020-12,US,0,0,,,-4745,-365,,
2021-01,US,1305894,0,,,1305894,0,,
2021-07,US,0,0,,,0,0,,
2021-10,US,158410,0,,,158410,0,,
2021-12,US,38219,351,,,-4507704,-1778,,
2022-01,US,74708325,886307,,,1971834383,25628384,,
2022-02,US,79084722,948189,,,2177049449,25815004,,
2022-03,US,81311996,995217,,,2471123250,30032748,,
2022-04,US,161947346,1987067,,,2421792325,29699553,,
2022-05,US,167587933,2011265,,,2566054435,31060456,,
2022-06,US,87500019,1017627,,,2578239966,30370448,,
2022-07,US,91324234,1030072,,,2771488618,31727702,,
2022-08,US,97012805,1045235,,,2885766239,32174637,,
2022-09,US,96327528,1059184,,,2861005318,31566522,,
2022-10,US,100820863,1106147,,,3004380958,33012452,,
2022-11,US,98699799,1079903,,,2943260133,32263583,,
2022-12,US,100756710,1092735,,,3092728070,33680301,,
2023-01,US,100764662,1092761,,,100761857,1092761,,
