year_month,Country_Region,Confirmed_cumulative,Deaths_cumulative,Recovered_cumulative,Active_cumulative,Confirmed_monthly_new,Deaths_monthly_new,Recovered_monthly_new,Active_monthly_new
2022-01,Afghanistan,162111,7408,,,-1730094,70262,,
2022-02,Afghanistan,173395,7593,,,-1744214,59505,,
2022-03,Afghanistan,177716,7667,,,-2042819,69049,,
2022-04,Afghanistan,356552,15352,,,-2063253,66519,,
2022-05,Afghanistan,359670,15398,,,-2173911,68432,,
2022-06,Afghanistan,182403,7722,,,-2186085,65611,,
2022-07,Afghanistan,185552,7745,,,-2239546,67177,,
2022-08,Afghanistan,193004,7777,,,-2083294,67371,,
2022-09,Afghanistan,199067,7799,,,-1816483,65795,,
2022-10,Afghanistan,202966,7821,,,-1756387,68389,,
2022-11,Afghanistan,205830,7833,,,-1599500,66698,,
2022-12,Afghanistan,207550,7847,,,-1631988,68677,,
2023-01,Afghanistan,207559,7849,,,-52422,2212,,
2022-01,Albania,255741,3334,,,2184034,-123350,,
2022-02,Albania,271527,3464,,,2729562,-114398,,
2022-03,Albania,273608,3492,,,2993119,-128885,,
2022-04,Albania,548592,6988,,,2882375,-125461,,
2022-05,Albania,551970,6994,,,2983147,-130012,,
2022-06,Albania,280298,3499,,,2879515,-126450,,
2022-07,Albania,1818157,21146,,,4351932,-91957,,
2022-08,Albania,329017,3582,,,4108240,-129920,,
2022-09,Albania,332173,3589,,,4041213,-126126,,
2022-10,Albania,332966,3593,,,4076728,-130816,,
2022-11,Albania,333338,3594,,,3857818,-127072,,
2022-12,Albania,333806,3595,,,3929645,-131659,,
2023-01,Albania,333806,3595,,,126247,-4254,,
2022-01,Algeria,250774,6566,,,-70531,94336,,
2022-02,Algeria,264855,6831,,,-173522,92763,,
2022-03,Algeria,265662,6874,,,-225950,104744,,
2022-04,Algeria,531461,13748,,,-259660,101398,,
2022-05,Algeria,531724,13750,,,-303485,104726,,
2022-06,Algeria,266073,6875,,,-339967,101337,,
2022-07,Algeria,267374,6876,,,-1786399,65396,,
2022-08,Algeria,270272,6878,,,-1635857,102570,,
2022-09,Algeria,270668,6879,,,-1817758,98787,,
2022-10,Algeria,270836,6881,,,-1917699,101982,,
2022-11,Algeria,271082,6881,,,-1866344,98624,,
2022-12,Algeria,271223,6881,,,-1935427,101889,,
2023-01,Algeria,271228,6881,,,-62578,3286,,
2022-01,Andorra,35556,145,,,-5992934,-188155,,
2022-02,Andorra,37999,151,,,-6263397,-184114,,
2022-03,Andorra,40024,155,,,-7018930,-208046,,
2022-04,Andorra,80656,306,,,-6754452,-201636,,
2022-05,Andorra,85788,306,,,-6932805,-208382,,
2022-06,Andorra,43774,153,,,-6677811,-201660,,
2022-07,Andorra,45508,153,,,-6872179,-208389,,
2022-08,Andorra,46027,154,,,-6919424,-208438,,
2022-09,Andorra,46227,155,,,-6733051,-201723,,
2022-10,Andorra,46535,155,,,-6955679,-208494,,
2022-11,Andorra,46824,156,,,-6727394,-201766,,
2022-12,Andorra,47751,165,,,-6932869,-208343,,
2023-01,Andorra,47751,165,,,-223477,-6716,,
2022-01,Angola,98076,1895,,,1877402,51198,,
2022-02,Angola,98701,1899,,,1716944,48970,,
2022-03,Angola,99138,1900,,,1858060,54180,,
2022-04,Angola,198388,3800,,,1759298,52410,,
2022-05,Angola,199054,3800,,,1772199,54157,,
2022-06,Angola,101320,1900,,,1695028,52410,,
2022-07,Angola,102301,1912,,,1765628,54340,,
2022-08,Angola,102636,1917,,,1757659,54631,,
2022-09,Angola,103131,1917,,,1705983,52867,,
2022-10,Angola,103131,1917,,,1759669,54622,,
2022-11,Angola,104491,1923,,,1702080,52888,,
2022-12,Angola,105095,1930,,,1778344,54761,,
2023-01,Angola,105095,1930,,,57344,1765,,
2022-01,Antarctica,11,0,0.0,0.0,-2773035,-55470,,
2022-02,Antarctica,11,0,0.0,0.0,-2757877,-53133,,
2022-03,Antarctica,11,0,,,-3066877,-58900,,
2022-04,Antarctica,22,0,,,-2976488,-57000,,
2022-05,Antarctica,22,0,,,-3079616,-58900,,
2022-06,Antarctica,11,0,,,-2995618,-57000,,
2022-07,Antarctica,11,0,,,-3154987,-59083,,
2022-08,Antarctica,11,0,,,-3179700,-59402,,
2022-09,Antarctica,11,0,,,-3089145,-57510,,
2022-10,Antarctica,11,0,,,-3196720,-59427,,
2022-11,Antarctica,11,0,,,-3103120,-57552,,
2022-12,Antarctica,11,0,,,-3251035,-59729,,
2023-01,Antarctica,11,0,,,-105084,-1930,,
2022-01,Antigua and Barbuda,6558,127,,,161767,3639,,
2022-02,Antigua and Barbuda,7437,135,,,200270,3710,,
2022-03,Antigua and Barbuda,7491,135,,,231154,4185,,
2022-04,Antigua and Barbuda,15046,270,,,225732,4052,,
2022-05,Antigua and Barbuda,16124,276,,,242334,4256,,
2022-06,Antigua and Barbuda,8625,141,,,254463,4189,,
2022-07,Antigua and Barbuda,8773,144,,,269442,4433,,
2022-08,Antigua and Barbuda,8974,145,,,274144,4471,,
2022-09,Antigua and Barbuda,9098,146,,,269767,4354,,
2022-10,Antigua and Barbuda,9106,146,,,281849,4526,,
2022-11,Antigua and Barbuda,9106,146,,,272850,4380,,
2022-12,Antigua and Barbuda,9106,146,,,281945,4526,,
2023-01,Antigua and Barbuda,9106,146,,,9095,146,,
2022-01,Argentina,8335184,120988,,,210969123,3550275,,
2022-02,Argentina,8897178,126120,,,243817676,3471007,,
2022-03,Argentina,9035127,127997,,,278118237,3940352,,
2022-04,Argentina,18114126,256553,,,271470971,3844451,,
2022-05,Argentina,18357590,257650,,,282784366,3986945,,
2022-06,Argentina,9367172,129070,,,278814031,3865375,,
2022-07,Argentina,9507562,129278,,,292388935,3999915,,
2022-08,Argentina,9678225,129711,,,297944938,4010809,,
2022-09,Argentina,9708420,129897,,,290625837,3890153,,
2022-10,Argentina,9718875,129991,,,300859238,4024167,,
2022-11,Argentina,9727247,130025,,,291382929,3895858,,
2022-12,Argentina,9891139,130124,,,303201841,4027320,,
2023-01,Argentina,9891139,130124,,,9882033,129978,,
2022-01,Armenia,366433,8046,,,-200636359,-3313501,,
2022-02,Armenia,419693,8449,,,-232761765,-3244808,,
2022-03,Armenia,422498,8611,,,-265273326,-3678913,,
2022-04,Armenia,845402,17242,,,-259015539,-3589897,,
2022-05,Armenia,845878,17248,,,-269916901,-3723887,,
2022-06,Armenia,423243,8629,,,-266377277,-3610718,,
2022-07,Armenia,425365,8633,,,-279512440,-3736825,,
2022-08,Armenia,434398,8655,,,-284900122,-3747398,,
2022-09,Armenia,442875,8683,,,-277730133,-3634430,,
2022-10,Armenia,445100,8706,,,-287365151,-3759023,,
2022-11,Armenia,445737,8710,,,-278292154,-3638966,,
2022-12,Armenia,445976,8716,,,-289662432,-3761764,,
2023-01,Armenia,445976,8716,,,-9445163,-121408,,
2022-01,Australia,2607242,3760,,,38012117,-156355,,
2022-02,Australia,3209599,5171,,,70393935,-100845,,
2022-03,Australia,4507681,5993,,,103968003,-90907,,
2022-04,Australia,10414555,13296,,,146048165,-56719,,
2022-05,Australia,14235484,16670,,,192845949,-23532,,
2022-06,Australia,8130927,9897,,,218691881,17324,,
2022-07,Australia,9408329,11846,,,258288317,64678,,
2022-08,Australia,10030575,13900,,,290459534,133691,,
2022-09,Australia,10238422,15171,,,291016608,176780,,
2022-10,Australia,10377788,15660,,,305705429,209264,,
2022-11,Australia,10655596,16124,,,301892783,215952,,
2022-12,Australia,11130283,17052,,,324785621,244740,,
