year_month,Country_Region,Confirmed_cumulative,Deaths_cumulative,Recovered_cumulative,Active_cumulative,Confirmed_monthly_new,Deaths_monthly_new,Recovered_monthly_new,Active_monthly_new
2020-03,US,188218,3896,7024,184831,537464,8983,9283,529224
2020-04,US,1040757,61866,120720,979773,17558033,895909,1550543,16667631
2020-05,US,1765285,104034,416461,1668533,44441480,2673027,8429236,41879311
2020-06,US,2777935,148029,705203,2627502,64136823,3473548,17158429,60698808
2020-07,US,4493374,152039,1414155,4355662,109565111,4277620,33310809,105431624
2020-08,US,6028681,182288,2153939,5825889,165591511,5220448,56130837,160148936
2020-09,US,7227888,204959,2813305,7010355,198992531,5830623,74830952,192565726
2020-10,US,9116553,229251,3578452,8876471,250414115,6726492,98734489,243506794
2020-11,US,13508955,269186,5065030,13262451,334995912,7437557,126936870,328411399
2020-12,US,19902689,347360,6399531,19556246,522479257,9567996,86225852,513480835
2021-01,US,20216522,350578,0,19810953,20216522,350578,0,19810953
2021-04,US,30846,214,0,30632,16979,-149,-11250,28378
