year_month,Country_Region,Confirmed_cumulative,Deaths_cumulative,Recovered_cumulative,Active_cumulative,Confirmed_monthly_new,Deaths_monthly_new,Recovered_monthly_new,Active_monthly_new
2021-01,Afghanistan,55008,2400,47609.0,8761.0,886337,48817,875880.0,-38360.0
2021-02,Afghanistan,55707,2443,49288.0,4944.0,573848,29584,520642.0,23622.0
2021-03,Afghanistan,56384,2476,51473.0,4051.0,605638,29747,486953.0,88938.0
2021-04,Afghanistan,59576,2618,53103.0,3903.0,606175,29875,516426.0,59874.0
2021-05,Afghanistan,70761,2919,57450.0,10392.0,785361,36078,584441.0,164842.0
2021-06,Afghanistan,117158,4794,70016.0,42348.0,1568107,62845,762162.0,743100.0
2021-07,Afghanistan,146523,6677,82586.0,57260.0,1859389,107026,879858.0,872505.0
2021-08,Afghanistan,153148,7116,82586.0,59511.0,1016189,91517,24857.0,150159.0
2021-09,Afghanistan,155128,7204,,,814470,79077,,
2021-10,Afghanistan,156210,7272,,,734213,80248,,
2021-11,Afghanistan,157260,7308,,,697881,78036,,
2021-12,Afghanistan,158056,7356,,,-436907,79181,,
2022-01,Afghanistan,158084,7356,,,-53644,2359,,
2021-01,Albania,77251,1369,46927.0,28955.0,393800,-31391,-152859.0,578050.0
2021-02,Albania,106215,1775,68969.0,35471.0,1029324,-24200,243678.0,809846.0
2021-03,Albania,124723,2227,90617.0,35815.0,1897877,-12815,964596.0,946096.0
2021-04,Albania,130977,2389,108606.0,31651.0,2129763,-6431,1427199.0,708995.0
2021-05,Albania,132309,2450,129308.0,19353.0,2108069,-9857,2068643.0,49283.0
2021-06,Albania,132514,2456,130002.0,433.0,1171444,-38682,2020186.0,-810060.0
2021-07,Albania,133036,2457,130205.0,374.0,-99451,-106502,1551475.0,-1544424.0
2021-08,Albania,145333,2495,130314.0,539.0,-440386,-139862,238396.0,-291098.0
2021-09,Albania,169462,2685,,,135105,-138113,,
2021-10,Albania,184887,2916,,,670260,-137376,,
2021-11,Albania,199750,3092,,,1086672,-128751,,
2021-12,Albania,208899,3212,,,1453144,-129563,,
2022-01,Albania,210224,3217,,,52140,-4139,,
2021-01,Algeria,107122,2888,73152.0,31082.0,1094893,46743,905030.0,143120.0
2021-02,Algeria,112960,2979,77976.0,32005.0,509226,38590,521858.0,-51222.0
2021-03,Algeria,117061,3089,81442.0,32530.0,-60407,30833,-25938.0,-65302.0
2021-04,Algeria,121866,3244,84940.0,33682.0,-283310,24805,-499920.0,191805.0
2021-05,Algeria,128725,3465,89625.0,35635.0,-204328,29122,-1069734.0,836284.0
2021-06,Algeria,139229,3708,96815.0,38706.0,46536,34051,-1096310.0,1108795.0
2021-07,Algeria,170189,4219,114531.0,51439.0,589343,45234,-793164.0,1337273.0
2021-08,Algeria,195574,5240,118409.0,53911.0,1514644,71495,-67305.0,261904.0
2021-09,Algeria,203198,5805,,,1247799,90862,,
2021-10,Algeria,206358,5918,,,858714,94830,,
2021-11,Algeria,210344,6064,,,458581,89545,,
2021-12,Algeria,218037,6271,,,286948,93417,,
2022-01,Algeria,218432,6276,,,8208,3059,,
2021-01,Andorra,9885,101,9045.0,838.0,-2835640,-82139,-1863522.0,-889979.0
2021-02,Andorra,10849,110,10429.0,743.0,-2798478,-79234,-1846328.0,-872916.0
2021-03,Andorra,11944,115,11276.0,553.0,-3222567,-90710,-2142384.0,-989473.0
2021-04,Andorra,13198,125,12650.0,646.0,-3197011,-90906,-2132185.0,-973920.0
2021-05,Andorra,13693,127,13416.0,423.0,-3465339,-100399,-2298951.0,-1065989.0
2021-06,Andorra,13900,127,13717.0,142.0,-3605296,-103840,-2389740.0,-1111716.0
2021-07,Andorra,14678,128,14210.0,383.0,-4261253,-117435,-2809232.0,-1334586.0
2021-08,Andorra,15032,130,14380.0,340.0,-5301971,-144043,-512577.0,-262580.0
2021-09,Andorra,15209,130,,,-5555659,-163948,,
2021-10,Andorra,15516,130,,,-5879436,-177775,,
2021-11,Andorra,16712,131,,,-5765888,-175726,,
2021-12,Andorra,23122,140,,,-6005428,-186930,,
2022-01,Andorra,23740,140,,,-194692,-6136,,
2021-01,Angola,19782,464,18015.0,6017.0,291204,10311,210711.0,70182.0
2021-02,Angola,20782,506,19315.0,1295.0,276014,10678,249978.0,15358.0
2021-03,Angola,22182,536,20446.0,1241.0,313560,12670,280893.0,19997.0
2021-04,Angola,26431,594,23606.0,2231.0,342319,13165,305356.0,23798.0
2021-05,Angola,34366,764,27766.0,5836.0,522049,16876,391978.0,113195.0
2021-06,Angola,38682,894,33079.0,6095.0,690862,21265,510770.0,158827.0
2021-07,Angola,42646,1008,36708.0,5458.0,815548,25543,643924.0,146081.0
2021-08,Angola,47331,1210,39582.0,4511.0,927592,30160,120539.0,16132.0
2021-09,Angola,56583,1537,,,1090121,37086,,
2021-10,Angola,64374,1708,,,1445812,47029,,
2021-11,Angola,65155,1733,,,1466423,47852,,
2021-12,Angola,79871,1764,,,1473458,49767,,
2022-01,Angola,81593,1770,,,57853,1630,,
2021-01,Antarctica,0,0,0.0,0.0,-560493,-13015,-455365.0,-92113.0
2021-02,Antarctica,0,0,0.0,0.0,-568497,-13655,-525819.0,-29023.0
2021-03,Antarctica,0,0,0.0,0.0,-664791,-16164,-616930.0,-31697.0
2021-04,Antarctica,0,0,0.0,0.0,-721730,-16792,-665223.0,-39715.0
2021-05,Antarctica,0,0,0.0,0.0,-940308,-20809,-798297.0,-121202.0
2021-06,Antarctica,0,0,0.0,0.0,-1105442,-25075,-919040.0,-161327.0
2021-07,Antarctica,0,0,0.0,0.0,-1257040,-29481,-1073970.0,-153589.0
2021-08,Antarctica,0,0,0.0,0.0,-1389832,-34157,-191983.0,-17714.0
2021-09,Antarctica,0,0,0.0,0.0,-1543421,-40986,,
2021-10,Antarctica,0,0,0.0,0.0,-1921512,-51059,,
2021-11,Antarctica,0,0,0.0,0.0,-1945964,-51758,,
2021-12,Antarctica,11,0,0.0,0.0,-2096335,-53952,,
2022-01,Antarctica,11,0,0.0,0.0,-81582,-1770,,
2021-01,Antigua and Barbuda,218,7,175.0,37.0,5525,168,4729.0,628.0
2021-02,Antigua and Barbuda,726,14,291.0,421.0,12461,272,5819.0,6370.0
2021-03,Antigua and Barbuda,1136,28,820.0,448.0,29679,756,17532.0,11391.0
2021-04,Antigua and Barbuda,1232,32,1014.0,288.0,35977,907,28403.0,6667.0
2021-05,Antigua and Barbuda,1259,42,1206.0,186.0,38583,1134,35263.0,2186.0
2021-06,Antigua and Barbuda,1263,42,1221.0,7.0,37882,1260,36507.0,115.0
2021-07,Antigua and Barbuda,1303,43,1235.0,25.0,39440,1309,37963.0,168.0
2021-08,Antigua and Barbuda,1713,44,1239.0,29.0,44363,1334,6179.0,129.0
2021-09,Antigua and Barbuda,3188,76,,,70392,1592,,
2021-10,Antigua and Barbuda,4058,102,,,117734,2889,,
2021-11,Antigua and Barbuda,4141,117,,,123334,3256,,
2021-12,Antigua and Barbuda,4283,119,,,129598,3636,,
2022-01,Antigua and Barbuda,4283,119,,,4272,119,,
2021-01,Argentina,1922264,47931,1712868.0,176100.0,53379698,1363886,47078967.0,4936845.0
2021-02,Argentina,2104197,51946,1899087.0,158997.0,56541261,1403546,50903392.0,4234323.0
2021-03,Argentina,2332765,55736,2095853.0,181176.0,68442626,1670186,61830700.0,4941740.0
2021-04,Argentina,2954943,63508,2608077.0,288962.0,78752233,1765535,69489497.0,7497201.0
2021-05,Argentina,3753609,77456,3319068.0,372886.0,102982060,2180681,91295357.0,9506022.0
2021-06,Argentina,4447701,93668,4062245.0,369849.0,124333365,2583718,112136033.0,9613614.0
2021-07,Argentina,4919408,105586,4557037.0,304726.0,145887365,3107775,134363089.0,8416501.0
2021-08,Argentina,5178889,111607,4615834.0,254491.0,157253780,3375994,22961238.0,1251859.0
2021-09,Argentina,5255261,115130,,,156757503,3410177,,
2021-10,Argentina,5288259,115942,,,163303354,3580891,,
2021-11,Argentina,5328416,116554,,,159099438,3484587,,
2021-12,Argentina,5606745,117146,,,167138814,3618524,,
2022-01,Argentina,5654408,117169,,,5650125,117050,,
2021-01,Armenia,166901,3071,157314.0,13555.0,-48476177,-1275002,-42545386.0,-4655789.0
2021-02,Armenia,171793,3190,163309.0,6427.0,-51817606,-1315935,-46407662.0,-4094009.0
2021-03,Armenia,191491,3497,172605.0,15389.0,-62889751,-1568602,-56671704.0,-4649445.0
2021-04,Armenia,215528,4087,197171.0,17411.0,-72635471,-1652263,-63969435.0,-7013773.0
2021-05,Armenia,222636,4432,212981.0,13821.0,-96195262,-2048629,-84912980.0,-9233653.0
2021-06,Armenia,224967,4514,216718.0,5024.0,-117656921,-2450515,-105714370.0,-9492036.0
2021-07,Armenia,229867,4608,219701.0,5558.0,-138885683,-2967816,-127640100.0,-8277767.0
2021-08,Armenia,241611,4830,220438.0,5930.0,-150011813,-3231534,-21866707.0,-1223167.0
2021-09,Armenia,260675,5299,,,-149306146,-3259961,,
2021-10,Armenia,306739,6284,,,-154717454,-3405964,,
2021-11,Armenia,338120,7535,,,-149419108,-3278007,,
2021-12,Armenia,344826,7970,,,-156648673,-3379693,,
2022-01,Armenia,344930,7972,,,-5309478,-109197,,
2021-01,Australia,28811,909,22802.0,5124.0,-4048852,-61782,-3857959.0,-129111.0
2021-02,Australia,28970,909,22903.0,5158.0,-3927086,-62431,-3861541.0,-3114.0
2021-03,Australia,29304,909,23005.0,5390.0,-4679249,-74161,-4464847.0,-140235.0
2021-04,Australia,29798,910,23279.0,5609.0,-5267518,-86891,-4854633.0,-325994.0
2021-05,Australia,30105,910,23581.0,5614.0,-5896450,-104976,-5689960.0,-101514.0
2021-06,Australia,30602,910,23806.0,5886.0,-5805276,-107163,-5747502.0,49389.0
2021-07,Australia,34130,924,24059.0,9147.0,-6052394,-112931,-6019365.0,79902.0
2021-08,Australia,53868,1006,24203.0,10256.0,-6006151,-115972,-979977.0,20124.0
2021-09,Australia,105123,1291,,,-5136150,-117845,,
2021-10,Australia,170564,1735,,,-4356723,-130715,,
2021-11,Australia,210238,2006,,,-4066809,-153084,,
2021-12,Australia,395133,2239,,,-2645802,-176597,,
2022-01,Australia,425496,2253,,,80566,-5719,,
2021-01,Austria,407799,9337,391076.0,21749.0,10694843,227353,10256033.0,389245.0
2021-02,Austria,450150,10407,428904.0,19875.0,11172559,252931,10855543.0,277890.0
2021-03,Austria,534505,11367,497816.0,35889.0,14301693,309317,13577708.0,702568.0
2021-04,Austria,609412,12385,582575.0,37028.0,16395349,330529,15627324.0,742599.0
2021-05,Austria,639337,12913,628312.0,23888.0,18564871,365882,18219125.0,231266.0
2021-06,Austria,645843,13068,637613.0,5356.0,18398761,362952,18309668.0,-60883.0
2021-07,Austria,653712,13133,642597.0,5184.0,19123942,377943,19085057.0,-124239.0
2021-08,Austria,681537,13224,644388.0,5722.0,19336860,378589,3097801.0,-21627.0
2021-09,Austria,735088,13489,,,18886951,366284,,
2021-10,Austria,816280,13932,,,19505792,377244,,
2021-11,Austria,1139925,15334,,,23151519,378751,,
2021-12,Austria,1267630,16799,,,29958982,437864,,
2022-01,Austria,1270811,16815,,,845315,14562,,
2021-01,Azerbaijan,230066,3126,222960.0,28091.0,-4778782,-165823,-4591313.0,-199434.0
2021-02,Azerbaijan,234267,3218,228651.0,3772.0,-5483587,-189439,-5158432.0,-349521.0
2021-03,Azerbaijan,259476,3538,237338.0,18600.0,-7671248,-234564,-7104680.0,-619910.0
2021-04,Azerbaijan,317913,4490,287298.0,32224.0,-8521889,-237047,-8550035.0,-39910.0
2021-05,Azerbaijan,333864,4907,324103.0,25132.0,-9308881,-246859,-9302743.0,-10681.0
2021-06,Azerbaijan,335961,4973,330193.0,4478.0,-9253234,-241689,-9170950.0,-53571.0
2021-07,Azerbaijan,343216,5022,332752.0,5442.0,-9623449,-251538,-9559641.0,-27089.0
2021-08,Azerbaijan,421103,5592,333694.0,8145.0,-9043485,-246960,-1552027.0,7102.0
2021-09,Azerbaijan,483128,6513,,,-7469749,-216488,,
2021-10,Azerbaijan,529109,7049,,,-8300680,-215049,,
2021-11,Azerbaijan,586640,7833,,,-12071738,-211724,,
2021-12,Azerbaijan,616352,8346,,,-19164623,-251843,,
2022-01,Azerbaijan,616947,8358,,,-653864,-8457,,
2021-01,Bahamas,8174,176,6771.0,1510.0,-6535252,-83557,-6149932.0,-301763.0
2021-02,Bahamas,8519,179,7309.0,1276.0,-6264407,-83970,-6141233.0,-39204.0
2021-03,Bahamas,9119,188,8597.0,1031.0,-7262554,-97205,-6948947.0,-216402.0
2021-04,Bahamas,10349,198,9421.0,730.0,-8470375,-115010,-7501983.0,-853382.0
2021-05,Bahamas,11745,229,10642.0,1002.0,-9840963,-140503,-9333595.0,-366865.0
2021-06,Bahamas,12586,246,11544.0,836.0,-9689247,-141428,-9514794.0,-33025.0
2021-07,Bahamas,14677,286,12570.0,1821.0,-10073662,-146575,-9895126.0,-31961.0
2021-08,Bahamas,18139,354,12702.0,2130.0,-11065185,-151628,-1603368.0,-24348.0
2021-09,Bahamas,20984,531,,,-13213487,-169654,,
2021-10,Bahamas,22351,643,,,-14877658,-190695,,
2021-11,Bahamas,22763,671,,,-16139026,-203881,,
2021-12,Bahamas,24269,716,,,-18051818,-230007,,
2022-01,Bahamas,24476,717,,,-592471,-7641,,
2021-01,Bahrain,102626,372,98160.0,4094.0,2678675,5567,2626048.0,47060.0
2021-02,Bahrain,121778,444,114472.0,7729.0,2912073,6317,2756742.0,149014.0
2021-03,Bahrain,143574,517,134442.0,8615.0,3826273,9335,3633124.0,183814.0
2021-04,Bahrain,175752,639,164904.0,11329.0,4517174,11563,4204550.0,301061.0
2021-05,Bahrain,238156,953,208445.0,28797.0,5930951,16734,5399014.0,515203.0
2021-06,Bahrain,265643,1351,260363.0,28527.0,7360212,29422,6944239.0,386551.0
2021-07,Bahrain,269080,1384,266705.0,3188.0,7878510,34443,7839064.0,5003.0
2021-08,Bahrain,272453,1388,267220.0,1015.0,7888189,33118,1271920.0,-5049.0
2021-09,Bahrain,274981,1389,,,7626703,27542,,
2021-10,Bahrain,276794,1393,,,7880865,24522,,
2021-11,Bahrain,277628,1394,,,7639514,21902,,
2021-12,Bahrain,281406,1394,,,7920261,21330,,
2022-01,Bahrain,282062,1394,,,257586,677,,
2021-01,Bangladesh,534770,8111,479297.0,48268.0,12856561,225189,11292963.0,1338409.0
2021-02,Bangladesh,545831,8400,496107.0,47268.0,11988944,220308,10693582.0,1075054.0
2021-03,Bangladesh,605937,8994,539880.0,57063.0,13420740,251916,12093063.0,1075761.0
2021-04,Bangladesh,756955,11393,677101.0,102128.0,16079473,286246,13566603.0,2226624.0
2021-05,Bangladesh,798830,12583,738805.0,66256.0,17895241,351474,16517787.0,1025980.0
2021-06,Bangladesh,904436,14388,811700.0,78348.0,17451542,362761,15873679.0,1215102.0
2021-07,Bangladesh,1240115,20467,1064195.0,159224.0,24804204,493593,20225533.0,4085078.0
2021-08,Bangladesh,1497261,26109,1141157.0,150587.0,35107405,697119,4211369.0,742883.0
2021-09,Bangladesh,1555051,27487,,,37766234,767606,,
2021-10,Bangladesh,1569328,27862,,,39928229,816357,,
2021-11,Bangladesh,1576011,27980,,,38864311,795943,,
2021-12,Bangladesh,1585027,28070,,,40350797,825745,,
2022-01,Bangladesh,1585539,28072,,,1303477,26678,,
2021-01,Barbados,1523,12,1139.0,744.0,-15745442,-235755,-14098092.0,-1411595.0
2021-02,Barbados,3038,33,2344.0,811.0,-15072856,-230940,-13599839.0,-1242077.0
2021-03,Barbados,3642,42,3457.0,636.0,-17412310,-265791,-15866093.0,-1280426.0
2021-04,Barbados,3838,44,3759.0,145.0,-20772463,-302260,-17931331.0,-2538872.0
2021-05,Barbados,4017,47,3922.0,53.0,-24047542,-373515,-22106924.0,-1567102.0
2021-06,Barbados,4079,47,3999.0,63.0,-25055831,-397908,-23033584.0,-1624339.0
2021-07,Barbados,4379,48,4198.0,199.0,-32967420,-534724,-28310167.0,-4122529.0
2021-08,Barbados,4931,49,4251.0,134.0,-43361968,-738570,-5525217.0,-747288.0
2021-09,Barbados,8180,69,,,-45794404,-807562,,
2021-10,Barbados,17465,152,,,-48094049,-856055,,
2021-11,Barbados,25152,228,,,-46522354,-831930,,
2021-12,Barbados,28310,260,,,-48154572,-861209,,
2022-01,Barbados,28565,260,,,-1556974,-27812,,
2021-01,Belarus,246570,1708,233499.0,17084.0,6628888,46818,6152352.0,429718.0
2021-02,Belarus,285959,1966,276234.0,11079.0,7419990,50944,7124884.0,244162.0
2021-03,Belarus,320594,2237,310983.0,7693.0,9311315,64086,9032322.0,214907.0
2021-04,Belarus,357233,2532,347554.0,7431.0,10080098,70351,9795849.0,213898.0
2021-05,Belarus,393807,2841,384933.0,7222.0,11525582,82012,11231877.0,211692.0
2021-06,Belarus,416275,3132,408878.0,6206.0,12062315,88338,11839162.0,134815.0
2021-07,Belarus,445048,3445,439162.0,4249.0,13237138,100664,13038637.0,97837.0
2021-08,Belarus,480364,3768,443417.0,2472.0,14171633,110319,2188116.0,11117.0
2021-09,Belarus,536097,4114,,,15057705,116804,,
2021-10,Belarus,598183,4614,,,17218084,132103,,
2021-11,Belarus,653323,5067,,,18172808,139773,,
2021-12,Belarus,697600,5561,,,20179286,157220,,
2022-01,Belarus,699110,5578,,,670545,5318,,
2021-01,Belgium,707837,21066,0.0,695277.0,13613721,563501,-6168410.0,19480972.0
2021-02,Belgium,769414,22052,0.0,755333.0,13190603,553825,-7171255.0,20040705.0
2021-03,Belgium,876842,22966,0.0,860434.0,15893481,632674,-9128178.0,24614857.0
2021-04,Belgium,986622,24185,0.0,967909.0,17906938,636480,-9904809.0,27354238.0
2021-05,Belgium,1061200,24940,0.0,1040946.0,20234887,680750,-11352221.0,31063229.0
2021-06,Belgium,1084550,25170,0.0,1063575.0,20085953,662891,-11958088.0,31513778.0
2021-07,Belgium,1124715,25241,0.0,1102789.0,20795570,679270,-13164944.0,33399108.0
2021-08,Belgium,1182810,25374,0.0,1110844.0,21428937,672492,-2209327.0,5520399.0
2021-09,Belgium,1242821,25595,,,21157863,645894,,
2021-10,Belgium,1360650,25994,,,22308938,663107,,
2021-11,Belgium,1749469,26966,,,26875955,646793,,
2021-12,Belgium,2089657,28308,,,39544663,693829,,
2022-01,Belgium,2105343,28331,,,1406233,22753,,
2021-01,Belize,11908,301,11309.0,733.0,-19930023,-602215,320071.0,-19910221.0
2021-02,Belize,12293,315,11836.0,298.0,-20332536,-596726,325337.0,-20293819.0
2021-03,Belize,12415,317,12061.0,142.0,-24927123,-688154,371551.0,-24836392.0
2021-04,Belize,12646,323,12208.0,118.0,-27723563,-698577,364086.0,-27568043.0
2021-05,Belize,12791,324,12378.0,127.0,-31488562,-754169,381875.0,-31273139.0
2021-06,Belize,13227,329,12648.0,250.0,-31880103,-742839,375285.0,-31645177.0
2021-07,Belize,14163,337,13420.0,428.0,-33739844,-771133,402873.0,-33489448.0
2021-08,Belize,16220,359,13543.0,450.0,-35276677,-773570,67317.0,-5530034.0
2021-09,Belize,20568,409,,,-35858934,-752900,,
2021-10,Belize,26798,491,,,-39181399,-784637,,
2021-11,Belize,30338,574,,,-44841209,-776250,,
2021-12,Belize,32488,598,,,-59590687,-840584,,
2022-01,Belize,32840,602,,,-2072503,-27729,,
2021-01,Benin,3786,48,3398.0,421.0,-239440,-6968,-222940.0,-9532.0
2021-02,Benin,5434,70,4248.0,1116.0,-207443,-7009,-217163.0,16729.0
2021-03,Benin,7100,90,6452.0,1458.0,-181940,-7237,-201234.0,26531.0
2021-04,Benin,7821,99,7580.0,970.0,-149514,-6720,-158150.0,15356.0
2021-05,Benin,8058,101,7893.0,242.0,-147525,-6899,-141746.0,1120.0
2021-06,Benin,8199,104,8000.0,95.0,-145705,-6719,-136521.0,-2465.0
2021-07,Benin,8394,108,8136.0,150.0,-167657,-6995,-153067.0,-7595.0
2021-08,Benin,13366,128,8136.0,362.0,-154268,-7122,-26637.0,-1138.0
2021-09,Benin,23890,159,,,56235,-7189,,
2021-10,Benin,24749,161,,,21724,-9033,,
2021-11,Benin,24850,161,,,-121920,-11299,,
2021-12,Benin,24935,161,,,-194513,-13224,,
2022-01,Benin,24935,161,,,-7905,-441,,
2021-01,Bhutan,858,1,782.0,355.0,-79508,-1357,-79787.0,1636.0
2021-02,Bhutan,867,1,862.0,44.0,-108195,-1665,-84295.0,-22235.0
2021-03,Bhutan,872,1,867.0,4.0,-174705,-2525,-143463.0,-28717.0
2021-04,Bhutan,1066,1,961.0,104.0,-197980,-2813,-179197.0,-15970.0
2021-05,Bhutan,1612,1,1275.0,361.0,-206746,-3086,-205317.0,1657.0
2021-06,Bhutan,2076,1,1773.0,367.0,-188557,-3051,-193045.0,7539.0
2021-07,Bhutan,2508,2,2371.0,377.0,-183431,-3238,-186256.0,6063.0
2021-08,Bhutan,2595,3,2418.0,139.0,-232115,-3528,-28705.0,-318.0
2021-09,Bhutan,2601,3,,,-522803,-4210,,
2021-10,Bhutan,2621,3,,,-675716,-4872,,
2021-11,Bhutan,2640,3,,,-665889,-4740,,
2021-12,Bhutan,2660,3,,,-689717,-4898,,
2022-01,Bhutan,2660,3,,,-22275,-158,,
2021-01,Bolivia,215397,10330,158499.0,46568.0,5537119,289265,4286332.0,961522.0
2021-02,Bolivia,248547,11628,192553.0,49131.0,6547354,310791,4922920.0,1313643.0
2021-03,Bolivia,271419,12239,220856.0,44894.0,8042943,370738,6367130.0,1305075.0
2021-04,Bolivia,301831,12920,249103.0,39808.0,8559767,377120,7031799.0,1150848.0
2021-05,Bolivia,368474,14471,292713.0,61290.0,10255331,420290,8341703.0,1493338.0
2021-06,Bolivia,437623,16702,358851.0,70196.0,12178594,470016,9742520.0,1966058.0
2021-07,Bolivia,471958,17784,405853.0,61931.0,14121813,537165,11886835.0,1697813.0
2021-08,Bolivia,490467,18429,411830.0,47753.0,14870556,562455,2036965.0,234410.0
2021-09,Bolivia,500090,18726,,,14790290,557966,,
2021-10,Bolivia,513584,18925,,,15609352,583717,,
2021-11,Bolivia,536472,19161,,,15649809,570684,,
2021-12,Bolivia,591773,19650,,,17249307,600595,,
2022-01,Bolivia,599753,19680,,,597093,19677,,
